collection_title,folder_title,field,role,relative_path,flat_filename,file_size_kb,original_url,cloudflare_url_template,status
Studios,Universal Pictures,heroBackdropUrl,backdrop,studios/universal-pictures/backdrop.jpg,studios__universal-pictures__backdrop.jpg,395.52,https://raw.githubusercontent.com/bramst0ne/prism-wallpapers/main/collections/companies/33-universal-pictures/backdrops/t2_flat_1080p.jpg,https://<YOUR_CLOUDFLARE_DOMAIN>/studios/universal-pictures/backdrop.jpg,SUCCESS
Studios,Walt Disney Studio,coverImageUrl,cover,studios/walt-disney-studio/cover.webp,studios__walt-disney-studio__cover.webp,9.89,https://imkaptain.github.io/nuvio-assets/assets/images/399ea613.webp,https://<YOUR_CLOUDFLARE_DOMAIN>/studios/walt-disney-studio/cover.webp,SUCCESS
Studios,Walt Disney Studio,titleLogoUrl,logo,studios/walt-disney-studio/logo.webp,studios__walt-disney-studio__logo.webp,46.05,"https://media.themoviedb.org/t/p/h100_filter(negate,000,666)/8bH86UPmMP8hlITzXV3XgV9eaAc.png",https://<YOUR_CLOUDFLARE_DOMAIN>/studios/walt-disney-studio/logo.webp,SUCCESS
Studios,Walt Disney Studio,heroBackdropUrl,backdrop,studios/walt-disney-studio/backdrop.webp,studios__walt-disney-studio__backdrop.webp,173.35,https://imkaptain.github.io/nuvio-assets/assets/images/c0f5a6ef.webp,https://<YOUR_CLOUDFLARE_DOMAIN>/studios/walt-disney-studio/backdrop.webp,SUCCESS
Studios,Warner Bros. Entertainment,coverImageUrl,cover,studios/warner-bros-entertainment/cover.webp,studios__warner-bros-entertainment__cover.webp,16.08,https://imkaptain.github.io/nuvio-assets/assets/images/532da5e0.webp,https://<YOUR_CLOUDFLARE_DOMAIN>/studios/warner-bros-entertainment/cover.webp,SUCCESS
Studios,Warner Bros. Entertainment,titleLogoUrl,logo,studios/warner-bros-entertainment/logo.webp,studios__warner-bros-entertainment__logo.webp,20.9,https://imkaptain.github.io/nuvio-assets/assets/images/0fef5ba4.webp,https://<YOUR_CLOUDFLARE_DOMAIN>/studios/warner-bros-entertainment/logo.webp,SUCCESS
Studios,Warner Bros. Entertainment,heroBackdropUrl,backdrop,studios/warner-bros-entertainment/backdrop.webp,studios__warner-bros-entertainment__backdrop.webp,157.76,https://imkaptain.github.io/nuvio-assets/assets/images/91b18b9b.webp,https://<YOUR_CLOUDFLARE_DOMAIN>/studios/warner-bros-entertainment/backdrop.webp,SUCCESS
Anime,Discover Anime,coverImageUrl,cover,anime/discover-anime/cover.jpg,anime__discover-anime__cover.jpg,405.18,https://raw.githubusercontent.com/ImKaptain/nuvio-art/main/art/anime/discover-anime/discover-anime-cover.png,https://<YOUR_CLOUDFLARE_DOMAIN>/anime/discover-anime/cover.jpg,SUCCESS
Anime,Discover Anime,focusGifUrl,hover,anime/discover-anime/hover.jpg,anime__discover-anime__hover.jpg,477.22,https://raw.githubusercontent.com/ImKaptain/nuvio-art/main/art/anime/discover-anime/discover-anime-hover.gif,https://<YOUR_CLOUDFLARE_DOMAIN>/anime/discover-anime/hover.jpg,SUCCESS
Anime,Discover Anime,heroBackdropUrl,backdrop,anime/discover-anime/backdrop.jpg,anime__discover-anime__backdrop.jpg,1465.86,https://raw.githubusercontent.com/ImKaptain/nuvio-art/main/art/anime/discover-anime/discover-anime-backdrop.jpg,https://<YOUR_CLOUDFLARE_DOMAIN>/anime/discover-anime/backdrop.jpg,SUCCESS
Anime,Studio Spotlight,coverImageUrl,cover,anime/studio-spotlight/cover.jpg,anime__studio-spotlight__cover.jpg,324.28,https://raw.githubusercontent.com/ImKaptain/nuvio-art/main/art/anime/studio-spotlight/studio-spotlight-cover.png,https://<YOUR_CLOUDFLARE_DOMAIN>/anime/studio-spotlight/cover.jpg,SUCCESS
Anime,Studio Spotlight,focusGifUrl,hover,anime/studio-spotlight/hover.jpg,anime__studio-spotlight__hover.jpg,396.84,https://raw.githubusercontent.com/ImKaptain/nuvio-art/main/art/anime/studio-spotlight/studio-spotlight-hover.gif,https://<YOUR_CLOUDFLARE_DOMAIN>/anime/studio-spotlight/hover.jpg,SUCCESS
Anime,Studio Spotlight,heroBackdropUrl,backdrop,anime/studio-spotlight/backdrop.jpg,anime__studio-spotlight__backdrop.jpg,1558.8,https://raw.githubusercontent.com/ImKaptain/nuvio-art/main/art/anime/studio-spotlight/studio-spotlight-backdrop.jpg,https://<YOUR_CLOUDFLARE_DOMAIN>/anime/studio-spotlight/backdrop.jpg,SUCCESS
Anime,Slice of Life & Romance,coverImageUrl,cover,anime/slice-of-life-and-romance/cover.jpg,anime__slice-of-life-and-romance__cover.jpg,237.92,https://raw.githubusercontent.com/ImKaptain/nuvio-art/main/art/anime/slice-of-life-and-romance/slice-of-life-and-romance-cover.png,https://<YOUR_CLOUDFLARE_DOMAIN>/anime/slice-of-life-and-romance/cover.jpg,SUCCESS
Anime,Slice of Life & Romance,focusGifUrl,hover,anime/slice-of-life-and-romance/hover.jpg,anime__slice-of-life-and-romance__hover.jpg,330.32,https://raw.githubusercontent.com/ImKaptain/nuvio-art/main/art/anime/slice-of-life-and-romance/slice-of-life-and-romance-hover.gif,https://<YOUR_CLOUDFLARE_DOMAIN>/anime/slice-of-life-and-romance/hover.jpg,SUCCESS
Anime,Slice of Life & Romance,heroBackdropUrl,backdrop,anime/slice-of-life-and-romance/backdrop.jpg,anime__slice-of-life-and-romance__backdrop.jpg,1592.99,https://raw.githubusercontent.com/ImKaptain/nuvio-art/main/art/anime/slice-of-life-and-romance/slice-of-life-and-romance-backdrop.jpg,https://<YOUR_CLOUDFLARE_DOMAIN>/anime/slice-of-life-and-romance/backdrop.jpg,SUCCESS
